2026-05-09,1,STAT_BOMB,"A 30% excise tax applies to the shortfall when a private foundation misses its 5% minimum distribution — and a 100% corrective tax hits if the undistributed income is not distributed in the following year.↵↵The calculation errors that trigger those penalties are almost always in the denominator, not the math.↵↵The distributable amount is 5% of the average fair market value of non-charitable-use assets across the year. Organizations that use only the year-end balance understate it whenever assets grew during the year.↵↵Monthly FMV averaged together is a defensible method under the regulations. Year-end balance only is not.↵↵The form 990-PF reports all of this publicly — investment income, qualifying distributions, and the excise tax calculation. It is one of the more consequential annual filings in nonprofit tax compliance.↵↵GrantPipe documents every grant decision, payment, and qualifying distribution in its activity log — the record auditors and IRS examiners ask for first. Learn more at grantpipe.com.",#nonprofitfinance #privatefoundations #grantcompliance #form990,apps\site\src\content\guides\form-990-pf-private-foundations-guide.md,yes
2026-05-09,2,MYTH_BUSTER,"Myth: Foundant GLM and GrantHub are the same product for different users.↵↵They are three separate products — GLM for grantmakers, SLM for scholarship administrators, and GrantHub for grantseekers — each with separate pricing and separate implementations.↵↵If your organization is both a grantseeker and does some grantmaking, you are buying two subscriptions.↵↵G2 and Capterra reviews place Foundant GLM implementations at 60 to 120 days, with a dedicated project manager required on both sides. Implementation fees run $2,500 to $10,000 on top of the annual subscription.↵↵GrantHub is Foundant's grantseeker product. It tracks applications and deadlines. It does not track restricted fund spend-down, generate audit documentation, or manage donors.↵↵The more important myth: Foundant is the only serious option for nonprofits managing grants. It is built for grantmakers. A grant-receiving nonprofit with a $500K to $10M budget is not the primary buyer that product was designed around.↵↵Knowing the difference before starting a sales conversation saves a quarter of planning time.",#grantmanagement #nonprofitoperations #grantcompliance #nonprofitsoftware,apps\site\src\content\alternatives\foundant-alternative.md,no
2026-05-09,3,WORKFLOW_STEP,"A donor refund in January for a December gift does not just affect the payment processor. It affects the donor's prior-year charitable deduction.↵↵The organization's obligation is specific: issue a correction letter stating the original gift date and amount, the refund date and amount, and the net contribution of zero for a full refund. The letter must note that the refund crossed a tax year so the donor knows to consult their tax advisor about any previously claimed deduction.↵↵Under FASB ASC 958, refunding a restricted gift also requires eliminating the associated donor restriction from net assets. The restricted net asset cannot remain on the books once the cash is returned.↵↵IRS Publication 1771 requires written acknowledgment for contributions of $250 or more. A revised acknowledgment for a refunded gift is not optional — it is what allows the donor to represent their giving accurately on their return.↵↵The CRM update is equally non-negotiable. A refund that is processed in the payment system but not reflected in the donor database inflates LYBUNT and SYBUNT retention metrics, giving totals, and year-end summaries.↵↵What refund procedures does your organization currently have in writing?",#donormanagement #nonprofitfinance #grantcompliance #nonprofitoperations,apps\site\src\content\workflows\donor-refund.md,no
2026-05-09,4,TERM_EXPLAINED,"""Management decision"" has a specific legal meaning in federal grant compliance that differs from ordinary usage.↵↵Under 2 CFR 200.521, a management decision is the written determination issued by a federal awarding agency or pass-through entity in response to a finding from a single audit.↵↵The federal agency has six months from the date the audit is accepted by the Federal Audit Clearinghouse to issue it.↵↵The management decision either accepts the finding as written, modifies its scope, or in rare cases disputes it. For questioned costs, it determines whether those costs are allowable or must be repaid. For internal control or compliance findings, it establishes the required corrective actions and the timeline for completion.↵↵Once issued, the corrective actions become tracked obligations. Status is reported in the Summary Schedule of Prior Audit Findings in every subsequent single audit until the finding is resolved. If the deadline passes and corrections are not complete, the finding may be characterized as a repeat finding in the next audit — treated as more serious than a new finding.↵↵Organizations that disagree have appeal rights, but appeals must generally be filed within 60 to 90 days of receiving the management decision.↵↵Most finance teams know what a finding is. Fewer know exactly what triggers the six-month clock.",#federalgrants #singleaudit #grantcompliance #nonprofitfinance,apps\site\src\content\glossary\management-decision.md,no
2026-05-09,5,TOOL_TEARDOWN,"Little Green Light starts at $39/month for up to 2,500 records. For an all-volunteer organization tracking individual donations, it does what it says it does.↵↵The limitation is not a bug. It is a design choice. Little Green Light is a donor database. There is no concept of restricted versus unrestricted funds. Every dollar is treated the same in the system.↵↵The tipping point is the first restricted grant.↵↵When that happens, LGL users start a spreadsheet for compliance tracking alongside the donor database. Now there are two systems that do not talk to each other. The spreadsheet owner becomes a single point of failure. Monthly reconciliation requires manual export and reconstruction.↵↵Nearly half of nonprofits are considering switching CRMs in the next 12 months, according to the Omatic 2025 Nonprofit Integration Report (600+ respondents). Feature gaps and growth are the primary drivers, not cost.↵↵The math: a nonprofit managing one restricted grant that requires four hours per month of manual compliance tracking is spending $200-$400 in staff time to work around a $39/month tool. The workaround costs more than the upgrade.↵↵The question to ask before any platform decision: which workflows still depend on a spreadsheet owner after implementation?",#nonprofitsoftware #donormanagement #grantcompliance #nonprofitoperations,apps\site\src\content\alternatives\little-green-light-alternative.md,no
2026-05-09,6,VERTICAL_HOOK,"A mid-sized veterans service organization may simultaneously manage VA SSVF grants, DOL Homeless Veterans Reintegration Program funding, and HUD-VASH service contracts — each with different compliance frameworks, performance metrics, and audit standards.↵↵VA SSVF grants require veteran status verification before funds are expended on behalf of any participant. That means a DD-214 or equivalent documentation, income eligibility documentation, and housing status documentation in the case file before the first dollar is charged.↵↵DOL veterans employment grants require something different: tracking job placements, wages at placement, and employment retention at the 2nd quarter and 4th quarter after placement. That is an ongoing data collection obligation that extends months beyond the service period.↵↵When a case manager's time is split across VA-funded and DOL-funded activities, that cost must be allocated to the correct program — documented and defensible under two different compliance frameworks simultaneously.↵↵The VA awarded approximately $490 million in SSVF grants to community organizations in FY2023. The documentation requirements that come with those awards are not incidental to the compliance process. They are the compliance process.↵↵Organizations that cannot produce complete veteran eligibility files during a site visit face findings. The documentation must exist before the auditor asks.",#veteransservices #federalgrants #grantcompliance #nonprofitfinance,apps\site\src\content\vertical-pages\veterans-services.md,no
2026-05-09,7,FREE_RESOURCE,"The five document categories auditors request most often from grant files, in order of frequency:↵↵Time-and-effort records for a sample of payroll periods for grant-funded employees. For employees splitting time across programs, monthly personnel activity reports accounting for 100% of compensated time are required — semi-annual certifications apply only to single-program employees.↵↵Source documents for a sample of direct cost expenditures. Every non-personnel direct expenditure needs a receipt or invoice filed in the grant file, not just in accounts payable.↵↵Competitive bidding or sole-source justification documentation for above-threshold procurement. For federal grants, the solicitation documents, bids received, evaluation records, and award rationale must be in the file.↵↵Subrecipient risk assessments and sub-award agreements. Under 2 CFR 200.332(b), a pre-award risk assessment is required before the sub-award is made — not retroactively.↵↵The general ledger reconciliation underlying the final SF-425. The reconciliation confirming that SF-425 figures match accounting records exactly.↵↵The 3-year retention clock under 2 CFR 200.334 starts from the final expenditure report submission date — not the grant end date.↵↵The full Grant File Audit Checklist (pre-award through closeout and record retention) is available free at grantpipe.com.",#grantcompliance #federalgrants #singleaudit #nonprofitfinance,apps\site\src\content\lead-magnets\grant-file-audit-checklist.md,no
2026-05-09,8,COMPARISON_INSIGHT,"Salesforce Nonprofit Cloud's 3-year total cost of ownership for a mid-sized nonprofit runs $75,000 to $275,000. Blackbaud Raiser's Edge NXT starts at $5,000 to $15,000 per year on multi-year contracts with opaque pricing and common annual increases.↵↵Neither platform ships with grant compliance built in.↵↵Salesforce can be configured to track grants — the restricted fund tracking, compliance automation, and audit reporting layer adds another $10,000 to $30,000 in consultant fees on top of the $30,000 to $100,000 base implementation.↵↵Blackbaud has no native grant lifecycle management. Compliance work still requires separate tools or manual processes regardless of what you pay annually.↵↵For a 10-person team, Salesforce Nonprofit Cloud costs $19,800 per year in licensing alone before implementation. That is the math before a single grant compliance workflow has been configured.↵↵The relevant question is not which enterprise platform is better. It is whether an organization with a $2M annual budget should be spending $75,000 to $275,000 over three years on software that still requires a consultant to manage grant restrictions.↵↵Both platforms are built for large nonprofits with dedicated IT departments. The mid-market is a different calculation.",#nonprofitsoftware #grantcompliance #nonprofitfinance #salesforce,apps\site\src\content\comparisons\salesforce-nonprofit-vs-blackbaud.md,no
2026-05-09,9,LIST_POST,"Five questions that separate a grant compliance system from a grant tracking tool:↵↵Where are restricted balances visible? Can the development director see the available balance remaining in each budget category for each active grant without opening a spreadsheet?↵↵How is documentation attached to spending? Does every expenditure charged to a grant have a path that connects it to a source document — invoice, receipt, payroll record — in the system?↵↵Who sees SF-425 due dates before they become urgent? Is the reporting deadline visible to finance before the week it is due, with the data already organized in the system?↵↵Can finance and development explain the same grant status without translation? Or does finance see one version in the accounting system and development see another in the CRM?↵↵What still depends on a spreadsheet owner after implementation? This question is the most revealing. In most platforms, the answer is still a lot.↵↵Most nonprofit CRMs have added grant tracking in the last five years. Most of them track funder name, award amount, application deadline, and award status. None of those fields constitute a compliance system. The difference is what happens after the award is recorded.↵↵Run these five questions against any platform before purchasing.",#grantcompliance #nonprofitsoftware #restrictedFunds #federalgrants,apps\site\src\content\listicles\best-nonprofit-crm-with-grant-compliance.md,no
2026-05-09,10,PRODUCT_INSIGHT,"When an auditor samples ten grant expenditures, the question is always the same: who approved this allocation, when, and what did it look like before the change?↵↵The organization either produces that evidence or accepts a finding.↵↵GrantPipe's activity log records every create, update, and delete across donors, grants, funds, and allocations with the acting user, a UTC timestamp, and a JSONB diff of before and after values. It is append-only — no user interface or API path to modify an entry.↵↵The retention default meets 2 CFR 200.334, which requires financial records for three years after the final expenditure report is submitted, not the grant end date.↵↵Soft delete preserves records for audit retrieval: a deleted record sets a deleted_at timestamp rather than removing the row. The log records who soft-deleted and when; the underlying record remains available.↵↵GAO's 2024 High Risk Series identifies weak grantee documentation as a recurring finding in federal grant audits. AICPA SAS No. 145 requires auditors to evaluate change logging as part of IT general controls.↵↵An auditor-ready CSV export filters by entity, date range, user, or grant and produces a report in minutes rather than a multi-day reconstruction project.↵↵The evidence packet should exist before auditors arrive, not get assembled after they ask.↵↵Start a free trial at app.grantpipe.com/signup.",#grantcompliance #federalgrants #nonprofitfinance #auditreadiness,apps\site\src\content\features\audit-trail-activity-log.md,yes
